id,street,city,lat,lon
1,Unter den Linden 1,Berlin,52.51720765,13.397834399325466
2,Unter den Linden 2,Berlin,52.517699,13.3970326
3,Unter den Linden 3,Berlin,52.5170694,13.396838112704888
4,Unter den Linden 4,Berlin,52.51790455,13.395537065063955
5,Unter den Linden 5,Berlin,52.5169402,13.3962176
6,Unter den Linden 6,Berlin,52.5183402,13.392920232320172
7,Unter den Linden 7,Berlin,52.516702949999996,13.394738342259679
8,Unter den Linden 8,Berlin,52.5182229,13.391516595586609
9,Unter den Linden 9,Berlin,52.516902849999994,13.39280343840411
10,Unter den Linden 10,Berlin,52.5174509,13.3904195
11,Unter den Linden 11,Berlin,52.51684725,13.392102047675435
12,Unter den Linden 12,Berlin,52.51742,13.390123
13,Unter den Linden 13,Berlin,52.5168774,13.3916223
14,Unter den Linden 14,Berlin,52.5174377,13.3898033
15,Unter den Linden 15,Berlin,52.5168431,13.3911424
16,Unter den Linden 16,Berlin,52.517322,13.388977
17,Unter den Linden 17,Berlin,52.5168089,13.3904178
18,Unter den Linden 18,Berlin,52.5169418,13.3855282
19,Unter den Linden 19,Berlin,52.5167847,13.3901648
20,Unter den Linden 20,Berlin,52.5169418,13.3855282
